FIPS,County_Name,duals_2015,duals_2018,total_duals_diff
06029,Kern,30068,32161,2093
06013,Contra Costa,28666,30286,1620
06107,Tulare,19307,20484,1177
06025,Imperial,13135,14207,1072
06053,Monterey,11788,12778,990
06077,San Joaquin,25958,26867,909
06095,Solano,12761,13587,826
06079,San Luis Obispo,6624,7391,767
06099,Stanislaus,21692,22423,731
06047,Merced,10431,11081,650
06057,Nevada,2598,3124,526
06103,Tehama,2793,3310,517
06111,Ventura,22407,22911,504
06089,Shasta,9443,9840,397
06115,Yuba,3137,3534,397
06031,Kings,4562,4950,388
06023,Humboldt,5914,6291,377
06045,Mendocino,5193,5488,295
06055,Napa,4251,4492,241
06027,Inyo,467,667,200
06093,Siskiyou,2478,2666,188
06007,Butte,10658,10844,186
06021,Glenn,1197,1381,184
06087,Santa Cruz,7930,8114,184
06033,Lake,4473,4645,172
06005,Amador,953,1123,170
06069,San Benito,1358,1517,159
06011,Colusa,788,946,158
06017,El Dorado,4295,4436,141
06009,Calaveras,1318,1445,127
06039,Madera,5140,5254,114
06043,Mariposa,556,657,101
06035,Lassen,920,985,65
06041,Marin,4979,5037,58
06049,Modoc,447,482,35
06015,Del Norte,1561,1594,33
06091,Sierra,144,161,17
06063,Plumas,928,935,7
06003,Alpine,40,32,-8
06109,Tuolumne,2035,1971,-64
06097,Sonoma,13625,13518,-107
06081,San Mateo,17986,17874,-112
06101,Sutter,4776,4635,-141
06051,Mono,307,152,-155
06113,Yolo,6297,6141,-156
06083,Santa Barbara,12567,12338,-229
06061,Placer,8098,7642,-456
06105,Trinity,1323,649,-674
